Date,Building Number,Project Name,Address,Status,Url
05/31/2006,2006-006102,PLUMBING,"4984 JANET WAY, LITHIA SPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06852&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006101,WATER HEATER,"2360 BARRETT COTTAGE PL, 16, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06851&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006100,RENOVATION,"1100 JOHNSON FERRY RD, 70, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06850&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006099,WATER HEATER,"1502 SEAFORM CT, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06849&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006098,DETACHED SLAB,"1965 CLEARWATER DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06848&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006097,STOOP,"3077 FARMINGTON LN, ATLANTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06847&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006096,INTERIOR,"1628 WILDWOOD DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06846&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006095,RENOVATION,"2101 PACES FERRY RD, SMYRNA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06845&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006094,UTILITY ROOM,"3876 OGLESBY RD, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06844&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006093,RENOVATION,"1600 PARKWOOD CIR, 100, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06843&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006092,RENOVATION,"2675 PACES FERRY RD, 220, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06842&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006091,DEMO,"3569 ANDERSON FARM RD, AUSTELL GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06841&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006090,AC,"1064 LITCHFIELD WAY, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06840&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006089,DEMO,"1083 ALLGOOD RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06839&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006088,RENOVATION,"1644 ATLANTA RD, 3, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06838&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006087,REPERMIT,"2065 WENLOK TRL, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06837&agencyCode=COBBCO&IsToShowInspection=
