Date,Building Number,Project Name,Address,Status,Url
01/31/2006,2006-001039,WATER HEATER,"1954 MCDUFFIE RD, AUSTELL GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00985&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001038,WATER HEATER,"1721 EMERSON BRIDGE CT, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00984&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001037,WATER HEATER,"4915 DAY LILY WAY, 20K, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00983&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001036,WATER HEATER,"2773 WYNDCLIFF WAY, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00982&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001035,WATER HEATER,"1218 WINBORN TER, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00981&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001034,HEATING,"2760 TIMBERLINE RD, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00980&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001033,FREE STANDING BUILDING,"3280 BARRETT LAKES BLVD, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00979&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001032,MOVE IN,"1219 CUMBERLAND MALL, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00978&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001031,SINGLE FAMILY STICK BUILT,"370 VININGS VINTAGE CIR, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00977&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001030,SINGLE FAMILY STICK BUILT,"349 VININGS VINTAGE CIR, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00976&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001029,BSMT,"359 VININGS VINTAGE CIR, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00975&agencyCode=COBBCO&IsToShowInspection=
01/30/2006,2006-001010,TOWNHOME,"5800 OAKDALE RD, 101-A, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07HST&capID2=00000&capID3=09220&agencyCode=COBBCO&IsToShowInspection=
01/30/2006,2006-000979,SINGLE FAMILY STICK BUILT,"2700 PETE SHAW RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09486&agencyCode=COBBCO&IsToShowInspection=
01/30/2006,2006-000978,SINGLE FAMILY STICK BUILT,"2680 PETE SHAW RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09485&agencyCode=COBBCO&IsToShowInspection=
01/30/2006,2006-000977,SINGLE FAMILY STICK BUILT,"2670 PETE SHAW RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09484&agencyCode=COBBCO&IsToShowInspection=
01/30/2006,2006-000976,SINGLE FAMILY STICK BUILT,"2660 PETE SHAW RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09483&agencyCode=COBBCO&IsToShowInspection=
